City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Egvekinot,RU,66.3167,-179.1667,38.1,83,100,10.18,overcast clouds
104,Saskylakh,RU,71.9167,114.0833,53.08,59,92,7.65,overcast clouds
105,Atuona,PF,-9.8,-139.0333,77.7,77,11,14.9,few clouds
106,Avera,US,33.194,-82.5271,89.11,59,100,5.03,overcast clouds
107,Adrar,MR,20.5022,-10.0711,87.73,46,41,19.51,light rain
108,Dawei,MM,14.0833,98.2,75.4,92,100,3.29,overcast clouds
109,Souillac,MU,-20.5167,57.5167,66.58,100,75,10.36,light rain
110,Cape Town,ZA,-33.9258,18.4232,56.1,91,75,6.91,moderate rain
111,Vestmannaeyjar,IS,63.4427,-20.2734,51.31,90,100,2.73,overcast clouds
112,Choya,RU,52.0108,86.5467,56.17,94,87,3.13,overcast clouds
113,Ahipara,NZ,-35.1667,173.1667,57.09,70,100,12.03,overcast clouds
114,Khatanga,RU,71.9667,102.5,41.81,89,100,15.19,light rain
115,Yellowknife,CA,62.456,-114.3525,70.32,46,20,13.8,few clouds
116,San Angelo,US,31.4638,-100.437,102.42,22,0,12.66,clear sky
117,Buritis,BR,-15.6178,-46.4233,70.43,42,0,3.87,clear sky
118,Kunming,CN,25.0389,102.7183,62.53,88,40,4.47,scattered clouds
119,Sebeta,ET,8.9167,38.6167,60.84,90,12,1.28,few clouds
120,Codrington,AU,-38.2667,141.9667,51.04,94,100,11.16,light rain
121,Clyde River,CA,70.4692,-68.5914,57.43,62,75,14.97,broken clouds
122,Gigmoto,PH,13.7796,124.39,81.12,86,100,1.34,overcast clouds
123,Pacific Grove,US,36.6177,-121.9166,84.54,77,0,11.5,clear sky
124,Victoria,HK,22.2855,114.1577,85.24,85,44,4.0,scattered clouds
125,Bairiki,KI,1.3292,172.9752,78.8,94,75,1.14,light rain
126,Vaini,TO,-21.2,-175.2,75.36,94,40,9.22,scattered clouds
127,Nantucket,US,41.2835,-70.0995,85.01,67,0,9.22,clear sky
128,Cherskiy,RU,68.75,161.3,48.96,53,14,4.18,few clouds
129,Mount Gambier,AU,-37.8333,140.7667,51.31,98,100,8.9,overcast clouds
130,Jamestown,US,42.097,-79.2353,82.04,47,0,13.8,clear sky
131,Nome,US,64.5011,-165.4064,49.15,93,100,13.8,overcast clouds
132,Oranjestad,AW,12.524,-70.027,84.15,74,20,18.41,few clouds
133,Lokosovo,RU,61.1333,74.8167,45.3,81,8,5.5,clear sky
134,Tazovskiy,RU,67.4667,78.7,45.54,96,100,10.09,overcast clouds
135,Kapaa,US,22.0752,-159.319,84.52,67,0,12.66,clear sky
136,Saint George,US,37.1041,-113.5841,110.62,12,0,17.27,clear sky
137,Castletown,IE,53.0281,-9.0686,59.49,97,100,7.18,overcast clouds
138,Sitka,US,57.0531,-135.33,55.29,82,100,9.22,light rain
139,Sibi,PK,29.5448,67.8764,89.62,53,89,6.35,overcast clouds
140,Lima,PE,-12.0432,-77.0282,65.89,70,100,9.22,overcast clouds
141,Puebloviejo,CO,10.9938,-74.2844,84.38,79,75,6.91,broken clouds
142,Watsa,CD,3.0372,29.5355,64.0,98,62,2.66,light rain
143,Pangnirtung,CA,66.1451,-65.7125,48.2,87,20,6.91,few clouds
144,Lagoa,PT,39.05,-27.9833,72.16,91,100,8.66,overcast clouds
145,Krasnyy Chikoy,RU,50.3643,108.7512,58.19,83,94,1.77,overcast clouds
146,Tasiilaq,GL,65.6145,-37.6368,37.56,73,34,7.94,scattered clouds
147,Tongliao,CN,43.6125,122.2653,76.75,72,100,4.34,overcast clouds
148,Kamyshevatskaya,RU,46.4132,37.9563,68.7,70,65,12.08,light rain
149,Port Elizabeth,ZA,-33.918,25.5701,58.32,80,0,9.22,clear sky
150,Maningrida,AU,-12.0667,134.2667,60.87,50,24,10.85,few clouds
151,Berlevag,NO,70.8578,29.0864,53.55,82,100,18.41,overcast clouds
152,Anchorage,US,61.2181,-149.9003,56.98,76,100,6.91,light rain
153,Bardiyah,LY,31.7561,25.0865,76.98,72,0,11.07,clear sky
154,Nelson Bay,AU,-32.7167,152.15,63.0,64,91,11.12,overcast clouds
