City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Verkhnyaya Toyma,RU,61.14,broken clouds,62.2349,44.9985,Gostinitsa
165,Pontinia,IT,82.36,scattered clouds,41.4109,13.0441,Hotel Ares - Ristorante Nane
167,Yacuiba,BO,64.76,broken clouds,-22.038,-63.6797,Hotel Monumental
169,Owensboro,US,91.45,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
172,Madang,PG,83.93,few clouds,-5.2246,145.7966,Comfort Inn Hotel
173,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
175,South Sioux City,US,89.87,clear sky,42.4739,-96.4136,Hilton Garden Inn Sioux City Riverfront
176,Hobbs,US,93.67,thunderstorm,32.7026,-103.136,Best Western Executive Inn
177,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
180,Jinxiang,CN,85.59,few clouds,27.4327,120.6062,Wolong Village
181,Port-Cartier,CA,64.62,broken clouds,50.0334,-66.8654,Le Q'Artier
182,Alta Floresta,BR,75.36,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
184,Axim,GH,74.93,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
185,Inhambane,MZ,65.75,clear sky,-23.865,35.3833,Oceano
186,Torbay,CA,69.28,broken clouds,47.6666,-52.7314,Gallows Cove
187,Orbetello,IT,77.0,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
188,Svetlyy,RU,66.25,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
189,Portland,US,81.7,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
190,Barber,CW,80.58,clear sky,12.2833,-69.0667,Cas Suribloem
192,Roma,US,80.74,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
193,Vieste,IT,81.59,clear sky,41.8825,16.175,Hotel Falcone
194,Joshimath,IN,72.57,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
196,Krasnyy Chikoy,RU,64.98,clear sky,50.3643,108.7512,Persona
197,Lazaro Cardenas,MX,82.33,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
200,Yulara,AU,61.92,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
201,Terenos,BR,73.11,clear sky,-20.4422,-54.8603,Rancho Pitzer
202,Vieques,PR,82.44,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
203,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
204,Harper,LR,74.53,overcast clouds,4.375,-7.7169,Screensaver
205,Sungairaya,ID,80.47,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
206,Goderich,CA,80.92,clear sky,43.7501,-81.7165,Harmony Inn
207,Nikolskoye,RU,66.09,few clouds,59.7035,30.7861,Tourist House - Sablino
208,Meulaboh,ID,78.69,overcast clouds,4.1363,96.1285,Kost Pria
210,Hibbing,US,81.75,clear sky,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
211,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
212,Beyneu,KZ,76.39,scattered clouds,45.3167,55.2,NUR
213,Novo Aripuana,BR,76.8,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
214,Bonnyville,CA,67.32,overcast clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
216,Saint-Denis,FR,66.11,mist,48.9167,2.3333,ibis budget Paris Porte de Montmartre
217,Auki,SB,86.36,clear sky,-8.7676,160.7034,Auki Motel
218,Port Macquarie,AU,61.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
219,Lompoc,US,71.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
220,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
221,Bontang,ID,79.03,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
223,Sumenep,ID,79.74,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
225,Ocean City,US,87.98,overcast clouds,39.2776,-74.5746,Biscayne Suites
227,Kimbe,PG,88.12,light rain,-5.5502,150.1429,Kimbe Bay Hotel
229,Impfondo,CG,68.81,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
230,Soyo,AO,67.93,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
231,Mirnyy,RU,70.7,overcast clouds,62.5353,113.9611,квартира
235,Saint-Pierre,RE,66.9,clear sky,-21.3393,55.4781,Alize Plage
236,Pokhara,NP,71.2,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
237,Sheridan,US,93.69,clear sky,44.8333,-106.9173,Comfort Inn & Suites
238,Yubari,JP,66.54,overcast clouds,43.0378,141.9578,合宿の宿ひまわり
239,Mabaruma,GY,74.26,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
242,Matay,EG,79.29,scattered clouds,28.419,30.7792,Nag Aespen
243,Eureka,US,69.21,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
244,Santa Maria Del Oro,MX,85.3,broken clouds,25.9333,-105.3667,Hotel Palacio Del Sol
245,Terme,TR,62.53,clear sky,41.2092,36.9739,OTEL GÜVEN TERME
247,El Alto,PE,61.77,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
248,Guasdualito,VE,78.76,few clouds,7.2424,-70.7324,Hotel Cuibas
249,Majene,ID,79.02,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
255,Lucapa,AO,68.02,overcast clouds,-8.4192,20.7447,Lírio Mendes
256,Alice Springs,AU,69.22,clear sky,-23.7,133.8833,Desert Palms Alice Springs
259,Inuvik,CA,76.06,shower rain,68.3499,-133.7218,Nova Inn Inuvik
261,Turukhansk,RU,65.68,few clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
263,Tam Ky,VN,82.81,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
267,Diamantino,BR,73.62,clear sky,-14.4086,-56.4461,Hotel Delta
268,Leskovac,RS,69.39,clear sky,42.9981,21.9461,HOTEL ABC
269,Alto Araguaia,BR,67.69,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
270,Pecos,US,100.49,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
271,Fortuna,US,68.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
272,Maneadero,MX,73.09,few clouds,31.7167,-116.5667,Casa De Thompson
273,Kathu,TH,83.75,light rain,7.9178,98.3332,Novotel Phuket Resort
275,Barcelos,PT,71.85,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
276,Shanghai,CN,91.26,clear sky,31.2222,121.4581,Swissotel Grand Shanghai
278,Manaul,PH,84.49,overcast clouds,12.453,121.4107,Falogme Bamboo House near at Buktot Beach
279,Talara,PE,63.81,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
281,Ugoofaaru,MV,81.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
283,Port Hardy,CA,64.58,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
285,Xuanwu,CN,91.35,overcast clouds,32.069,118.8138,东方珍珠饭店
286,Dir,PK,72.81,broken clouds,35.2058,71.8756,Sindh Hotal Dir
287,Caravelas,BR,69.64,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
288,Bonavista,CA,63.09,clear sky,48.6499,-53.1147,Sweet Sharons bnb
289,Charleston,US,85.1,thunderstorm,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
290,Buraydah,SA,86.45,scattered clouds,26.326,43.975,Mövenpick Qassim
291,Koulamoutou,GA,75.07,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
292,Auburn Hills,US,85.73,few clouds,42.6875,-83.2341,Embassy Suites by Hilton Auburn Hills
294,Nushki,PK,85.08,overcast clouds,29.5542,66.0215,Shams hotel
295,Dalby,AU,62.49,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
296,Aklavik,CA,62.56,overcast clouds,68.2191,-135.0107,Aklavik Inn
297,Richards Bay,ZA,64.96,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
298,Santa Isabel Do Rio Negro,BR,73.54,overcast clouds,-0.4139,-65.0192,Hotel GSA
299,Dosso,NE,82.35,overcast clouds,13.049,3.1937,Hotel Toubal
300,Natal,BR,77.22,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
302,Durant,US,95.43,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
303,Sedhiou,SN,74.39,moderate rain,12.7081,-15.5569,Auberge Cheznous
304,Teknaf,BD,78.48,overcast clouds,20.8624,92.3058,Forestry Guesthouse
307,Banda Aceh,ID,80.1,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
308,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
309,San Quintin,MX,69.21,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
310,Cortes,ES,68.05,broken clouds,41.9395,-1.4396,Rincon de bu
311,Talavera De La Reina,ES,72.95,clear sky,39.9635,-4.8308,Be Live City Center Talavera
313,Betsiamites,CA,73.8,few clouds,48.9413,-68.646,Pourvoirie du lac des îles
316,Westport,US,85.48,clear sky,41.1415,-73.3579,The Westport Inn
318,Charcas,MX,72.95,clear sky,23.1333,-101.1167,Hotel El Malacate
319,Carauari,BR,73.24,broken clouds,-4.8828,-66.8958,Hotel Fellip
321,Vetralla,IT,75.06,clear sky,42.3098,12.0784,Ristorante Dal Sor Francesco Locanda B&B
322,Wyckoff,US,86.02,clear sky,41.0095,-74.1729,Bogert's Ranch Estates Inc
323,Velasco Ibarra,EC,72.61,overcast clouds,-1.05,-79.6167,Wilson Mendoza
324,Xacmaz,AZ,71.47,scattered clouds,41.4635,48.806,Ulduz Hotel
325,Inongo,CD,66.79,overcast clouds,-1.95,18.2667,Hotel Du Lac
327,Margate,GB,63.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
328,Dingle,PH,83.86,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
329,Kristiansand,NO,61.86,overcast clouds,58.1467,7.9956,Clarion Hotel Ernst
331,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
333,Shenjiamen,CN,82.17,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
335,Mikhaylovka,RU,61.7,light rain,50.06,43.2379,5 Komnat
337,Lac Du Bonnet,CA,68.63,broken clouds,50.2536,-96.0612,Drifter's Inn
340,Saint George,US,108.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
341,Asau,RO,67.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
343,Rantepao,ID,73.24,broken clouds,-2.9701,119.8978,Hotel Luta Resort
344,Pochutla,MX,82.22,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
345,Xai-Xai,MZ,61.81,clear sky,-25.0519,33.6442,Complexo da Familia
346,Lipin Bor,RU,60.55,few clouds,60.2622,37.9763,Priozor'ye
348,Rafraf,TN,79.11,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
349,Bengkulu,ID,78.35,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
